TimestampMicroSeconds,X,Y
21719865797,-0.532160,-0.218490
21719898561,-0.584949,-0.135406
21719910798,-0.589830,-0.134923
21719927463,-0.592233,-0.143224
21719942481,-0.593997,-0.148921
21719955818,-0.556657,-0.219315
21719972435,-0.597836,-0.156795
21719987476,-0.601773,-0.157525
21720000796,-0.564483,-0.221289
21720017470,-0.604322,-0.173580
21720062464,-0.570368,-0.233014
21720107436,-0.573995,-0.237995
21720122465,-0.575647,-0.240608
21720135781,-0.576905,-0.242875
21720152424,-0.578883,-0.244606
21720167434,-0.580618,-0.245576
21720198453,-0.624133,-0.171724
21720225756,-0.585614,-0.251429
21720242485,-0.629792,-0.172076
21720270701,-0.590280,-0.251201
21720287430,-0.635771,-0.169386
21720302430,-0.636791,-0.168415
21720315705,-0.636949,-0.167662
21720348543,-0.638490,-0.166036
21720360736,-0.597825,-0.249501
21720377457,-0.645487,-0.166132
21720392488,-0.672185,-0.163816
21720422470,-0.720482,-0.149673
21720437455,-0.741839,-0.140620
21720450708,-0.688574,-0.253026
21720467451,-0.785720,-0.130546
21720512421,-0.748222,-0.256552
21720527425,-0.906022,-0.016484
21720540944,-0.763488,-0.256293
21720557467,-0.837391,-0.146597
21720572425,-0.838869,-0.153493
21720585858,-0.772591,-0.280663
21720617403,-0.776676,-0.297181
21720648534,-0.858305,-0.183789
21720675662,-0.808569,-0.319392
21720707491,-0.897921,-0.194384
21720720696,-0.836585,-0.327332
21720737450,-0.909491,-0.196751
21720752447,-0.913974,-0.198961
21720765663,-0.854646,-0.332839
21720798525,-0.925184,-0.205584
21720810688,-0.868243,-0.337724
21720827463,-0.986517,-0.080982
21720842456,-0.930889,-0.211527
21720855667,-0.876030,-0.339676
21720872412,-0.991319,-0.090671
21720887444,-0.937082,-0.216602
21720900700,-0.883048,-0.342070
21720917443,-0.994426,-0.092808
21720946734,-0.887204,-0.346445
21720962445,-0.943756,-0.218261
21720977416,-0.944239,-0.218128
21720990607,-0.888707,-0.348829
21721007431,-1.003383,-0.082716
21721202478,-0.930097,-0.247284
21721215684,-0.874397,-0.390587
21721248501,-0.928922,-0.217418
21721260662,-0.869666,-0.384259
21721277457,-0.926051,-0.212339
21721292422,-0.925121,-0.209672
21721305655,-0.861385,-0.378425
21721322450,-0.923176,-0.207006
